id,name,external_id,full_name
132601,"Bondesson, Jakob",sr:player:1358846,Jakob Bondesson
132602,"Anderson, Matt",sr:player:598246,Matt Anderson
132603,"Kolpanen, Ville",sr:player:133906,Ville Kolpanen
132604,"Gelinas, Eric",sr:player:352058,Eric Gelinas
132605,"Johnson, Isaac",sr:player:1302216,Isaac Johnson
132606,"Johannesson, Samuel",sr:player:1606634,Samuel Johannesson
132607,"Pahlsson, Karl",sr:player:1632738,Karl Pahlsson
132608,"Jonsson, Samuel",sr:player:1337172,Samuel Jonsson
132609,"Ragnevad, Isak",sr:player:1396797,Isak Ragnevad
132610,"Clang, Calle",sr:player:1654775,Calle Clang
132611,"Andersson, Erik",sr:player:374404,Erik Andersson
132612,"Liss, Olle",sr:player:215132,Olle Liss
132613,"Pogge, Justin",sr:player:134529,Justin Pogge
132614,"Youds, Ben",sr:player:905386,Ben Youds
132615,"Ahnelov, Jonas",sr:player:30291,Jonas Ahnelov
132616,"Bristedt, Leon",sr:player:1214718,Leon Bristedt
132617,"Zaar, Daniel",sr:player:283147,Daniel Zaar
132618,"Elvenes, Lucas",sr:player:1117343,Lucas Elvenes
132619,"Brithen, Ted",sr:player:112856,Ted Brithen
132620,"Gustafsson, Johan",sr:player:42471,Johan Gustafsson
132621,"Widing, Daniel",sr:player:29840,Daniel Widing
132622,"Mauri, Davide",sr:player:1318078,Davide Mauri
132623,"Schiavone, Giacomo",sr:player:1480000,Giacomo Schiavone
132624,"Westermark, John",sr:player:1699347,John Westermark
132625,"Ziberi, Sadat",sr:player:786999,Sadat Ziberi
132626,"Wilsby, Adam",sr:player:1644556,Adam Wilsby
132627,"Esposito, Marcello",sr:player:1318082,Marcello Esposito
132628,"Leandrinho, Alfonso",sr:player:785391,Alfonso Leandrinho
132629,"Stenvall, Ludvig",sr:player:1423455,Ludvig Stenvall
132630,"Peverini, Luca",sr:player:1318084,Luca Peverini
132631,"Holloway, Bud",sr:player:904612,Bud Holloway
132632,"Di Siro, Antonio",sr:player:1428463,Antonio Di Siro
132633,"Ghisleni, Tiziano",sr:player:1318086,Tiziano Ghisleni
132634,"Berglund, Filip",sr:player:1004697,Filip Berglund
132635,"Di Lonardo, Vito Gianluca",sr:player:1484490,Vito Gianluca Di Lonardo
132636,"Dahlroth, Felix",sr:player:1572514,Felix Dahlroth
132637,"Delgado Perez, Julio Martin",sr:player:1318088,Julio Martin Delgado Perez
132638,"Muto, Pietro",sr:player:1428467,Pietro Muto
132639,"Granberg, Petter",sr:player:144179,Petter Granberg
132640,"Urio, Fabricio",sr:player:356916,Fabricio Urio
132641,"Bianchi, Alessio",sr:player:1374157,Alessio Bianchi
132642,"De Oliveira Alan, Patrik",sr:player:1318090,Patrik De Oliveira Alan
132643,"Hedman, Linus",sr:player:1643042,Linus Hedman
132644,"Santagati, Fabian",sr:player:1419791,Fabian Santagati
132645,"Soderlund, Tim",sr:player:1022813,Tim Soderlund
132646,"Carabellese, Roberto",sr:player:1328168,Roberto Carabellese
132647,"Cuomo, Andrea Alberto",sr:player:1395133,Andrea Alberto Cuomo
132648,"Lindstrom, Joakim",sr:player:31913,Joakim Lindstrom
132649,"Brioschi, Yesak",sr:player:1420115,Yesak Brioschi
132650,"Pettersson, Adam",sr:player:143052,Adam Pettersson
132651,"Luft, Christian",sr:player:1379655,Christian Luft
132652,"Migliano Minazzoli, Gabriele",sr:player:1318092,Gabriele Migliano Minazzoli
132653,"Lindstrom, Linus",sr:player:964055,Linus Lindstrom
